Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Amarela;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Professor de Ensino Médio;SOLIDARIEDADE;Apto;Não eleito;RO;NORTE
2022;Governador;Branca;Deferido;Casado(a);30 a 34 anos;Feminino;Superior completo;PARANÁ;Brasileira nata;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;PCB;Apto;Não eleito;PR;SUL
2022;Governador;Branca;Deferido;Casado(a);30 a 34 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Advogado;UNIÃO;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Advogado;SOLIDARIEDADE;Apto;2º turno;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Advogado;SOLIDARIEDADE;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Professor de Ensino Superior;PV;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Deputado;PRTB;Apto;2º turno;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Deputado;PRTB;Apto;Não eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;PSOL;Apto;Não eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Policial Militar;PMB;Apto;Não eleito;MG;SUDESTE
