Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;PI;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Advogado;PSDB;Apto;Eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Governador;PSD;Apto;Eleito;PR;SUL
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Governador;MDB;Apto;Eleito;PA;NORTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Governador;PL;Apto;Eleito;RJ;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Administrador;PSD;Apto;Eleito;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Servidor Público Federal;REPUBLICANOS;Apto;Eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Governador;UNIÃO;Apto;Eleito;MT;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Governador;PP;Apto;Eleito;RR;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Governador;PSB;Apto;Eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PSB;Apto;Eleito;MA;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;Eleito;PB;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Médico;UNIÃO;Apto;Eleito;GO;CENTRO-OESTE
2022;Governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Governador;NOVO;Apto;Eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Senador;PL;Apto;Eleito;SC;SUL
2022;Governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;Eleito;RS;SUL
2022;Governador;Indígena;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;BA;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ACRE;Brasileira nata;Engenheiro;PP;Apto;Eleito;AC;NORTE
2022;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Governador;MDB;Apto;Eleito;AL;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Governador;UNIÃO;Apto;Eleito;AM;NORTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;CEARÁ;Brasileira nata;Deputado;PT;Apto;Eleito;CE;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Governador;MDB;Apto;Eleito;DF;CENTRO-OESTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Governador;UNIÃO;Apto;Eleito;RO;NORTE
